"Road length (kilometres) by road type and local authority in Great Britain, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table RDL0201a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Department for Transport statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Road lengths statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes are used throughout this table, please see the notes tab to find the related notes text",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values in this table may not sum due to rounding,,,,,,,,,,,,,Kilometres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ONS Area 
Code",Region,Local Authority,Trunk motorways,Principal motorways,All motorways,Trunk rural 'A' roads,Trunk urban 'A' roads,Principal rural 'A' roads,Principal urban 'A' roads,All 'A' roads,Rural 'B' roads,Urban 'B' roads,Rural 'C' and 'U' roads,Urban 'C' and 'U' roads,All minor roads,Major trunk roads,Major principal roads,Minor roads,Total road length ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000047,North East,County Durham UA,36.8,0.0,36.8,42.3,1.0,324.0,44.2,411.5,359.3,42.5,"1,933.7",968.9,"3,304.5",80.1,368.2,"3,304.5","3,752.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000005,North East,Darlington UA,9.5,0.0,9.5,12.4,0.4,36.3,15.9,65.0,20.0,9.2,182.9,276.6,488.7,22.3,52.2,488.7,563.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000001,North East,Hartlepool UA,0.0,0.0,0.0,8.4,0.0,22.3,17.3,48.0,2.0,7.0,64.4,292.2,365.6,8.4,39.6,365.6,413.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000002,North East,Middlesbrough UA,0.0,0.0,0.0,9.2,5.3,7.6,26.3,48.4,8.0,10.2,38.7,435.2,492.1,14.5,33.9,492.1,540.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000057,North East,Northumberland UA ,0.0,0.0,0.0,163.7,0.8,410.6,33.7,608.8,611.7,30.4,"3,283.3",601.9,"4,527.3",164.5,444.3,"4,527.3","5,136.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000003,North East,Redcar and Cleveland UA,0.0,0.0,0.0,5.1,2.6,76.1,11.6,95.4,14.9,6.6,263.9,308.6,594.0,7.7,87.7,594.0,689.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000004,North East,Stockton-on-Tees UA,0.0,0.0,0.0,26.3,3.5,41.0,33.3,104.1,6.0,7.3,185.1,597.8,796.2,29.8,74.3,796.2,900.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000037,North East,Gateshead,5.3,0.0,5.3,8.6,6.4,32.3,29.8,77.1,15.0,30.7,172.0,610.5,828.3,20.3,62.1,828.3,910.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000021,North East,Newcastle upon Tyne,0.0,2.8,2.8,14.9,6.9,5.9,62.0,89.7,11.4,34.6,105.2,752.2,903.4,21.8,70.7,903.4,995.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000022,North East,North Tyneside,0.0,0.0,0.0,10.6,1.0,30.0,53.3,94.9,17.1,18.6,80.3,602.8,718.9,11.6,83.3,718.9,813.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
