count_point_id,year,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,estimation_method,estimation_method_detailed,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
16578,2014,8,"Yorkshire and The Humber",88,Wakefield,A61,Major,"A650 Bradford Road","A650 Roundabout",432770,422000,53.69342431,-1.50520187,0.40,0.25,Estimated,"Estimated using previous year's AADF on this link",92,197,25506,276,3158,262,69,46,24,42,64,507,29645
7396,2014,8,"Yorkshire and The Humber",88,Wakefield,A638,Major,A628,A645,440000,417650,53.65382603,-1.39627446,7.30,4.54,Counted,"Manual count",47,127,14269,214,1622,236,23,104,29,24,33,449,16681
77594,2021,8,"Yorkshire and The Humber",88,Wakefield,A656,Major,"Green St","LA Boundary",442750,426360,53.73188900,-1.35347190,0.20,0.12,Estimated,"Estimated using previous year's AADF on this link",9,75,7040,21,1462,139,50,50,33,48,54,374,8971
26605,2014,8,"Yorkshire and The Humber",88,Wakefield,A61,Major,"A638 intersection",A642,433550,421000,53.68438719,-1.49349773,1.00,0.62,Estimated,"Estimated using previous year's AADF on this link",37,189,18417,132,3374,456,76,100,17,43,45,737,22850
7375,2014,8,"Yorkshire and The Humber",88,Wakefield,A639,Major,A645,A628,445460,421000,53.68348937,-1.31318141,0.90,0.56,Estimated,"Estimated using previous year's AADF on this link",62,209,14356,89,2573,260,70,55,5,23,36,449,17676
16008,2014,8,"Yorkshire and The Humber",88,Wakefield,M1,Major,39,40,430500,419000,53.66659776,-1.53987171,4.20,2.61,Counted,"Manual count",0,232,75569,372,13586,3132,433,349,697,2652,2852,10114,99874
26056,2014,8,"Yorkshire and The Humber",88,Wakefield,M62,Major,31,32,442300,423400,53.70532416,-1.36069595,4.30,2.67,Estimated,"Estimated using previous year's AADF on this link",0,155,60909,152,13818,2445,620,683,646,4638,5430,14461,89494
17347,2014,8,"Yorkshire and The Humber",88,Wakefield,A638,Major,A642,"A638 Ings Road",432410,420480,53.67978524,-1.51081184,0.50,0.31,Estimated,"Estimated using previous year's AADF on this link",127,306,27293,548,3339,278,81,32,23,49,42,505,31991
17351,2014,8,"Yorkshire and The Humber",88,Wakefield,A639,Major,"Brockadale Ave",A638,445700,420000,53.67448101,-1.30969485,9.00,5.59,Estimated,"Estimated using previous year's AADF on this link",16,39,4343,51,792,53,9,7,3,10,17,99,5324
36008,2014,8,"Yorkshire and The Humber",88,Wakefield,M1,Major,"LA boundary",39,430180,414300,53.62437312,-1.54516910,5.40,3.36,Counted,"Manual count",0,260,59651,397,12106,2780,478,291,569,2535,2763,9415,81829
7407,2014,8,"Yorkshire and The Humber",88,Wakefield,A645,Major,"A645 spur","Trundles Lane",450030,423800,53.70823732,-1.24354396,2.90,1.80,Estimated,"Estimated using previous year's AADF on this link",43,51,8423,152,1958,113,58,88,16,68,113,456,11040
7399,2014,8,"Yorkshire and The Humber",88,Wakefield,A656,Major,A656,M62,444050,424300,53.71326857,-1.33406034,1.20,0.75,Estimated,"Estimated using previous year's AADF on this link",46,111,17210,191,2520,221,121,75,15,52,58,542,20574
17345,2014,8,"Yorkshire and The Humber",88,Wakefield,A637,Major,"LA boundary",A636,428830,413500,53.61725852,-1.56565347,3.00,1.86,Estimated,"Estimated using previous year's AADF on this link",33,121,8760,61,1834,218,20,19,18,32,43,350,11127
7419,2014,8,"Yorkshire and The Humber",88,Wakefield,A655,Major,A639,A6032,441400,425000,53.71977618,-1.37411537,1.90,1.18,Estimated,"Estimated using previous year's AADF on this link",94,114,11757,258,2571,175,66,95,5,18,30,389,15089
36088,2014,8,"Yorkshire and The Humber",88,Wakefield,A162,Major,"M62 Junction 33",A645,448360,423000,53.70120443,-1.26896604,1.10,0.68,Counted,"Manual count",2,143,14484,65,2728,476,134,120,144,449,474,1797,19216
47419,2014,8,"Yorkshire and The Humber",88,Wakefield,A636,Major,A637,"Hollin Lane, Calder Grove",430060,416300,53.64235584,-1.54679088,3.90,2.42,Estimated,"Estimated using previous year's AADF on this link",18,117,14404,57,2259,216,43,47,10,36,40,392,17230
47426,2014,8,"Yorkshire and The Humber",88,Wakefield,A639,Major,A6032,A655,441200,425000,53.71979196,-1.37714591,0.80,0.50,Estimated,"Estimated using previous year's AADF on this link",56,100,7965,76,1824,187,51,58,7,37,20,361,10325
36621,2014,8,"Yorkshire and The Humber",88,Wakefield,A61,Major,A650,"LA Boundary",433260,425000,53.72035669,-1.49746052,3.35,2.08,Estimated,"Estimated using previous year's AADF on this link",78,59,9149,146,1373,95,27,45,6,4,4,180,10908
47447,2014,8,"Yorkshire and The Humber",88,Wakefield,A655,Major,A638,"B6133 Church Lane",436530,420000,53.67520029,-1.44849727,5.50,3.42,Estimated,"Estimated using previous year's AADF on this link",38,302,11402,178,1782,154,69,63,11,28,52,378,14043
47422,2014,8,"Yorkshire and The Humber",88,Wakefield,A638,Major,"A636 Denby Dale Road","A636 Charlesworth Way",433000,420400,53.67902943,-1.50188850,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",81,194,20505,73,2882,147,39,49,4,31,21,291,23946
47401,2014,8,"Yorkshire and The Humber",88,Wakefield,A628,Major,B6422,A638,444000,415000,53.62968864,-1.33613261,4.40,2.73,Estimated,"Estimated using previous year's AADF on this link",7,95,8802,50,1582,127,34,32,21,21,26,262,10792
46008,2014,8,"Yorkshire and The Humber",88,Wakefield,M1,Major,40,"LA Boundary",429500,423000,53.70260634,-1.55462681,2.40,1.49,Counted,"Manual count",0,242,87627,386,16082,3355,547,543,670,2585,2410,10110,114445
47434,2014,8,"Yorkshire and The Humber",88,Wakefield,A645,Major,A638,"Wentworth Rd, Featherstone",440000,419900,53.67404826,-1.39598550,4.70,2.92,Estimated,"Estimated using previous year's AADF on this link",19,152,6694,141,1408,113,9,8,3,3,7,143,8538
56864,2014,8,"Yorkshire and The Humber",88,Wakefield,A638,Major,A645,A655,436000,419000,53.66624921,-1.45663543,2.30,1.43,Estimated,"Estimated using previous year's AADF on this link",59,188,16168,306,2322,198,63,32,13,33,33,372,19355
46616,2014,8,"Yorkshire and The Humber",88,Wakefield,A61,Major,A642,A650,433000,421400,53.68801721,-1.50178249,1.00,0.62,Estimated,"Estimated using previous year's AADF on this link",109,172,15684,255,2169,258,67,47,13,31,25,441,18721
56056,2014,8,"Yorkshire and The Humber",88,Wakefield,M62,Major,33,"LA Boundary",449200,422160,53.69357677,-1.25637672,4.50,2.80,Counted,"Manual count",0,152,38192,121,8298,1902,409,599,688,4834,5093,13525,60288
56840,2014,8,"Yorkshire and The Humber",88,Wakefield,A6032,Major,A639,A655,442000,425720,53.72619938,-1.36492632,1.60,0.99,Estimated,"Estimated using previous year's AADF on this link",96,58,7004,90,2115,92,21,16,2,24,20,175,9442
56874,2014,8,"Yorkshire and The Humber",88,Wakefield,A642,Major,"Bridge Rd, Horbury",A638,431960,420000,53.67549870,-1.51767351,5.50,3.42,Estimated,"Estimated using previous year's AADF on this link",141,129,14365,297,2348,124,28,111,6,6,8,283,17422
