"Table 5: Local Authority: Gross Domestic Product (GDP) at current market prices, pounds million",,,,,,,,,,,,,,,,,,,,,,,,,,
ITL1 Region,LA code,LA name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
North East,E06000001,Hartlepool,908,961,981,992,"1,047","1,106","1,152","1,196","1,250","1,313","1,342","1,310","1,346","1,397","1,410","1,462","1,447","1,518","1,639","1,664","1,645","1,692","1,661","1,702"
North East,E06000004,Stockton-on-Tees,"2,855","2,989","3,081","3,130","3,296","3,539","3,798","3,919","4,202","4,430","4,495","4,611","4,646","4,682","4,742","4,916","5,080","5,384","5,464","5,407","5,521","5,818","5,551","6,074"
North East,E06000002,Middlesbrough,"1,699","1,774","1,825","1,843","1,916","2,033","2,186","2,331","2,468","2,546","2,614","2,636","2,624","2,698","2,752","2,744","2,838","2,964","3,094","3,206","3,405","3,414","3,107","3,508"
North East,E06000003,Redcar and Cleveland,"1,457","1,485","1,526","1,509","1,553","1,706","1,738","1,781","1,802","1,831","1,943","1,897","1,991","2,019","2,046","2,062","2,130","2,204","2,149","2,026","2,123","2,225","2,169","2,271"
North East,E06000005,Darlington,"1,675","1,721","1,853","1,960","2,087","2,222","2,370","2,362","2,406","2,379","2,504","2,362","2,448","2,535","2,541","2,567","2,849","3,019","2,892","2,881","2,878","2,858","2,630","2,790"
North East,E06000047,County Durham,"5,359","5,642","5,810","5,972","6,287","6,706","7,207","7,516","7,992","8,334","8,609","8,630","8,785","8,775","8,992","9,110","9,170","9,317","9,431","9,706","10,263","10,708","10,174","11,018"
North East,E06000057,Northumberland,"3,484","3,516","3,588","3,724","4,008","4,162","4,447","4,625","4,843","4,973","5,113","4,964","5,165","5,275","5,343","5,391","5,562","5,684","5,906","6,056","6,175","6,511","6,098","6,557"
North East,E08000021,Newcastle upon Tyne,"4,734","4,729","4,883","5,256","5,658","5,980","6,555","6,968","7,350","7,452","7,471","7,393","7,732","8,079","8,477","8,551","8,780","9,328","9,632","10,094","10,166","10,500","9,716","10,460"
North East,E08000022,North Tyneside,"2,318","2,369","2,424","2,636","2,909","3,038","3,280","3,425","3,531","3,635","3,769","3,628","3,759","3,910","3,998","4,016","4,193","4,381","4,559","4,915","5,141","5,218","4,994","5,427"
North East,E08000023,South Tyneside,"1,324","1,338","1,377","1,433","1,494","1,569","1,684","1,759","1,828","1,866","1,918","1,803","1,895","1,969","2,109","2,149","2,268","2,282","2,247","2,276","2,306","2,401","2,177","2,429"
North East,E08000037,Gateshead,"2,919","2,959","3,040","3,175","3,385","3,552","3,829","4,051","4,256","4,347","4,335","4,152","4,346","4,595","4,658","4,456","4,522","4,582","4,717","4,739","4,816","5,276","4,705","5,166"
North East,E08000024,Sunderland,"3,929","3,887","4,044","4,269","4,577","4,785","5,212","5,456","5,726","5,791","5,944","5,979","6,019","6,140","6,310","6,892","7,150","7,332","7,427","7,736","7,748","8,143","7,374","7,642"
North West,E07000026,Allerdale,"1,244","1,264","1,320","1,335","1,427","1,460","1,470","1,542","1,653","1,701","1,780","1,765","1,848","1,859","1,876","2,033","2,143","2,140","2,064","2,039","2,070","2,146","1,921","2,141"
North West,E07000027,Barrow-in-Furness,906,873,903,824,903,976,"1,059","1,024","1,111","1,204","1,310","1,304","1,344","1,417","1,500","1,524","1,572","1,685","1,751","1,891","1,905","2,003","1,916","1,892"
North West,E07000029,Copeland,"1,238","1,390","1,080","1,109","1,125","1,205","1,191","1,405","1,476","1,423","1,605","1,503","1,569","1,481","1,557","1,585","1,720","1,752","1,728","1,666","1,652","1,608","1,460","1,618"
North West,E07000028,Carlisle,"1,630","1,683","1,778","1,807","1,891","2,053","2,128","2,207","2,379","2,502","2,653","2,624","2,675","2,681","2,712","2,897","3,022","3,131","3,187","3,251","3,190","3,351","2,995","3,231"
North West,E07000030,Eden,901,926,967,962,"1,038","1,123","1,161","1,212","1,293","1,323","1,379","1,331","1,365","1,370","1,426","1,439","1,525","1,586","1,576","1,607","1,654","1,765","1,526","1,711"
North West,E07000031,South Lakeland,"1,504","1,555","1,620","1,681","1,794","1,933","2,007","2,078","2,235","2,298","2,389","2,280","2,360","2,317","2,437","2,453","2,550","2,686","2,766","2,925","2,914","3,180","2,897","3,121"
North West,E08000003,Manchester,"9,626","10,117","10,389","11,125","11,788","12,445","13,428","14,486","15,502","16,415","16,726","17,135","17,698","17,973","18,930","19,415","20,134","21,147","22,599","24,500","25,385","27,196","25,778","28,224"
North West,E08000006,Salford,"3,670","3,855","3,901","4,092","4,260","4,482","4,845","5,232","5,549","5,829","5,925","5,886","5,983","6,107","6,527","7,158","7,646","7,777","7,663","7,877","8,489","8,944","8,859","9,620"
North West,E08000009,Trafford,"4,709","4,941","5,141","5,468","5,767","6,027","6,228","6,511","6,818","7,136","7,259","7,079","7,214","7,283","7,503","7,881","8,033","8,593","8,993","9,536","10,051","10,214","9,617","10,409"
North West,E08000007,Stockport,"4,032","4,251","4,404","4,585","4,791","5,025","5,227","5,448","5,678","5,971","6,173","6,211","6,269","6,251","6,444","6,554","6,584","6,661","6,996","7,433","7,742","7,836","7,583","8,097"
North West,E08000008,Tameside,"2,266","2,395","2,473","2,545","2,644","2,743","2,825","2,998","3,083","3,215","3,252","3,200","3,276","3,338","3,409","3,548","3,667","3,732","3,759","3,979","4,070","4,111","3,900","4,136"
North West,E08000001,Bolton,"3,341","3,483","3,509","3,712","3,834","4,003","4,214","4,448","4,645","4,833","4,845","4,879","5,004","5,098","5,316","5,610","5,699","5,924","6,163","6,416","6,772","6,770","6,629","7,299"
North West,E08000010,Wigan,"3,206","3,371","3,495","3,652","3,786","3,955","4,111","4,313","4,491","4,661","4,604","4,489","4,606","4,698","4,819","5,141","5,292","5,640","5,823","6,021","6,125","6,139","5,945","6,480"
North West,E08000002,Bury,"2,072","2,178","2,250","2,359","2,506","2,614","2,722","2,852","2,987","3,133","3,140","3,083","3,167","3,234","3,336","3,450","3,432","3,638","3,732","3,787","3,898","4,145","3,884","4,162"
North West,E08000004,Oldham,"2,354","2,466","2,530","2,610","2,726","2,801","2,960","3,123","3,254","3,383","3,445","3,366","3,445","3,543","3,593","3,762","3,952","4,143","4,272","4,612","4,665","4,862","4,422","4,739"
North West,E08000005,Rochdale,"2,331","2,469","2,530","2,632","2,713","2,810","2,947","3,064","3,131","3,281","3,298","3,231","3,333","3,421","3,608","3,756","3,823","3,942","4,013","4,116","4,294","4,525","4,153","4,537"
North West,E06000008,Blackburn with Darwen,"1,766","1,835","1,855","1,895","1,993","2,150","2,258","2,317","2,385","2,493","2,571","2,493","2,625","2,712","2,825","2,932","3,073","3,261","3,421","3,459","3,521","3,623","3,475","3,852"
North West,E06000009,Blackpool,"1,520","1,572","1,610","1,679","1,775","1,923","2,069","2,153","2,215","2,266","2,274","2,179","2,313","2,355","2,375","2,411","2,490","2,612","2,760","2,908","3,037","3,263","3,014","3,116"
North West,E07000121,Lancaster,"1,746","1,799","1,752","1,791","1,925","2,149","2,301","2,496","2,658","2,760","2,787","2,502","2,507","2,575","2,736","2,911","2,987","3,161","3,153","3,163","3,195","3,355","3,212","3,442"
North West,E07000128,Wyre,"1,020","1,061","1,094","1,122","1,185","1,294","1,354","1,381","1,405","1,431","1,483","1,417","1,476","1,527","1,541","1,598","1,664","1,907","1,951","1,953","2,035","2,119","1,856","2,017"
North West,E07000119,Fylde,"1,840","1,982","2,110","2,238","2,253","2,455","2,685","2,816","2,820","2,940","2,936","2,709","2,704","2,698","2,686","2,717","2,494","2,703","2,905","3,137","2,836","2,914","2,715","2,922"
North West,E07000123,Preston,"2,461","2,579","2,645","2,746","2,930","3,158","3,341","3,438","3,556","3,730","3,679","3,680","3,841","3,893","4,079","4,027","4,218","4,440","4,762","4,741","4,823","4,996","4,592","4,988"
North West,E07000124,Ribble Valley,"1,103","1,172","1,217","1,275","1,314","1,427","1,533","1,584","1,600","1,643","1,646","1,494","1,527","1,627","1,668","1,820","1,893","1,995","1,910","2,025","1,956","1,822","1,948","2,211"
North West,E07000126,South Ribble,"2,088","2,136","2,216","2,245","2,367","2,562","2,677","2,722","2,718","2,935","3,020","2,830","2,917","3,000","3,089","3,271","3,547","3,741","3,904","3,993","3,948","4,043","3,991","4,345"
North West,E07000117,Burnley,"1,135","1,193","1,220","1,249","1,283","1,377","1,441","1,493","1,545","1,618","1,641","1,574","1,681","1,737","1,815","1,821","1,936","1,947","2,044","2,171","2,310","2,292","2,199","2,401"
North West,E07000120,Hyndburn,942,994,980,"1,007","1,049","1,097","1,155","1,189","1,219","1,294","1,337","1,274","1,336","1,393","1,451","1,492","1,521","1,578","1,719","1,723","1,593","1,675","1,536","1,727"
North West,E07000122,Pendle,"1,197","1,285","1,317","1,352","1,381","1,487","1,568","1,639","1,665","1,704","1,669","1,493","1,557","1,642","1,644","1,623","1,683","1,746","1,859","1,958","2,062","2,058","1,854","2,001"
North West,E07000125,Rossendale,725,749,764,772,814,874,909,925,944,985,"1,000",970,"1,018","1,059","1,049","1,087","1,156","1,227","1,225","1,231","1,232","1,281","1,143","1,254"
North West,E07000118,Chorley,"1,164","1,216","1,271","1,327","1,418","1,515","1,585","1,615","1,653","1,732","1,790","1,734","1,836","1,871","1,918","1,952","2,024","2,122","2,233","2,264","2,362","2,595","2,401","2,569"
North West,E07000127,West Lancashire,"1,441","1,486","1,505","1,542","1,633","1,743","1,841","1,863","1,906","2,002","2,067","2,049","2,141","2,200","2,230","2,265","2,413","2,472","2,709","2,842","2,926","3,071","2,891","3,084"
North West,E06000007,Warrington,"4,024","4,112","4,310","4,709","4,918","5,098","5,282","5,605","5,864","6,181","6,117","5,837","6,016","6,145","6,316","6,662","7,063","7,457","7,855","8,428","8,478","9,008","8,571","9,337"
North West,E06000049,Cheshire East,"6,581","6,898","7,166","8,255","8,529","8,281","9,189","9,768","10,459","10,690","10,598","10,299","10,832","11,345","11,915","12,212","12,976","13,533","14,726","14,728","15,091","15,649","15,004","16,078"
North West,E06000050,Cheshire West and Chester,"5,527","5,945","5,901","6,401","6,550","7,029","7,209","7,514","8,059","8,599","8,690","8,911","9,363","9,420","9,520","9,929","10,479","10,358","10,964","11,674","11,940","12,653","11,513","13,062"
North West,E06000006,Halton,"2,398","2,512","2,621","2,672","2,784","3,015","3,061","3,216","3,490","3,383","3,615","3,660","3,826","3,860","3,680","3,853","4,077","4,231","4,254","4,398","4,598","4,800","4,322","4,498"
North West,E08000011,Knowsley,"1,909","1,937","1,953","2,069","2,145","2,291","2,368","2,368","2,500","2,597","2,703","2,638","2,853","2,954","3,019","3,295","3,476","3,633","3,873","4,108","4,052","4,270","4,039","4,557"
North West,E08000013,St. Helens,"1,857","2,014","2,101","2,202","2,328","2,444","2,554","2,628","2,800","2,891","2,904","2,852","3,017","3,009","2,891","2,974","3,097","3,145","3,208","3,223","3,313","3,400","3,103","3,448"
