,Local Authority,Calendar Year,Annual Territorial emissions (kt CO2e)
32,Barnet,2005,53.988608522
33,Barnet,2006,56.822202623
34,Barnet,2007,53.186985916
35,Barnet,2008,59.597039503000005
36,Barnet,2009,57.067456555
37,Barnet,2010,56.557556831
38,Barnet,2011,49.227800217
39,Barnet,2012,49.430061156
40,Barnet,2013,51.889026025999996
41,Barnet,2014,52.339996128
42,Barnet,2015,53.189937049
43,Barnet,2016,54.353228057
44,Barnet,2017,58.26036163
45,Barnet,2018,57.091260412
46,Barnet,2019,57.945878271
47,Barnet,2020,41.99712241099999
128,Blackburn with Darwen,2005,43.407684935999995
129,Blackburn with Darwen,2006,43.63186721500001
130,Blackburn with Darwen,2007,44.518305044
131,Blackburn with Darwen,2008,42.530733665
132,Blackburn with Darwen,2009,39.657701144
133,Blackburn with Darwen,2010,39.427691328
134,Blackburn with Darwen,2011,37.810997328999996
135,Blackburn with Darwen,2012,37.108126983
136,Blackburn with Darwen,2013,38.812223530999994
137,Blackburn with Darwen,2014,39.225577140000006
138,Blackburn with Darwen,2015,40.592887371
139,Blackburn with Darwen,2016,41.60774533
140,Blackburn with Darwen,2017,36.818976504999995
141,Blackburn with Darwen,2018,39.780264045
142,Blackburn with Darwen,2019,39.944270638999996
143,Blackburn with Darwen,2020,28.776814445
176,Bolton,2005,158.512865971
177,Bolton,2006,159.544365287
178,Bolton,2007,163.426526725
179,Bolton,2008,156.745990227
180,Bolton,2009,153.575691106
181,Bolton,2010,149.493066629
182,Bolton,2011,157.214790729
183,Bolton,2012,159.445582954
184,Bolton,2013,158.596821494
185,Bolton,2014,164.33905798
186,Bolton,2015,167.94433922999997
187,Bolton,2016,161.844900178
188,Bolton,2017,166.89235890700002
189,Bolton,2018,162.604102223
190,Bolton,2019,158.52464489
191,Bolton,2020,142.115291431
192,Bracknell Forest,2005,9.641974755000001
193,Bracknell Forest,2006,9.596014800999999
194,Bracknell Forest,2007,9.99656016
195,Bracknell Forest,2008,8.995102641
196,Bracknell Forest,2009,9.422765467
197,Bracknell Forest,2010,8.734086133
198,Bracknell Forest,2011,8.550937397
199,Bracknell Forest,2012,8.488999322
200,Bracknell Forest,2013,7.95526593
201,Bracknell Forest,2014,8.418126315
202,Bracknell Forest,2015,8.481810988
203,Bracknell Forest,2016,8.595487513
204,Bracknell Forest,2017,7.8406774189999995
205,Bracknell Forest,2018,7.687954825
206,Bracknell Forest,2019,7.558206193
207,Bracknell Forest,2020,4.8665745529999995
368,Cambridge,2005,9.991222217999999
369,Cambridge,2006,9.965389898
370,Cambridge,2007,10.819111790000001
371,Cambridge,2008,10.310759417
372,Cambridge,2009,9.909843243
373,Cambridge,2010,9.865320261
374,Cambridge,2011,9.12487008
375,Cambridge,2012,9.068826236000001
376,Cambridge,2013,9.862336485
377,Cambridge,2014,9.871323609999997
378,Cambridge,2015,10.291753354999999
379,Cambridge,2016,10.326061053
380,Cambridge,2017,9.548094926
381,Cambridge,2018,9.403533298000001
382,Cambridge,2019,9.512378187
383,Cambridge,2020,7.389149564
544,Coventry,2005,41.237641419000006
545,Coventry,2006,41.592488408
546,Coventry,2007,41.45404195100001
547,Coventry,2008,38.958845047000004
548,Coventry,2009,33.814742149
549,Coventry,2010,43.160874943
550,Coventry,2011,39.210357253
551,Coventry,2012,39.324797939
552,Coventry,2013,36.552826353
553,Coventry,2014,41.476822112
554,Coventry,2015,42.342174944
555,Coventry,2016,43.566506102
556,Coventry,2017,43.64319718
557,Coventry,2018,37.281227271
558,Coventry,2019,39.617147555
559,Coventry,2020,33.351252822
560,Crawley,2005,94.256668016
561,Crawley,2006,94.90495332200001
562,Crawley,2007,93.745068479
563,Crawley,2008,84.488023651
564,Crawley,2009,80.27852801600001
565,Crawley,2010,82.089330142
566,Crawley,2011,83.48295030499999
567,Crawley,2012,79.827622166
568,Crawley,2013,76.00412557700001
569,Crawley,2014,67.57694309
570,Crawley,2015,73.57580940199999
571,Crawley,2016,75.139555205
572,Crawley,2017,75.822092571
573,Crawley,2018,73.25781576300001
574,Crawley,2019,71.341097328
575,Crawley,2020,53.692579895
640,Dudley,2005,48.970290856999995
641,Dudley,2006,48.049067916
642,Dudley,2007,49.209771756
643,Dudley,2008,45.698423527
644,Dudley,2009,41.841824589
645,Dudley,2010,39.531550784000004
646,Dudley,2011,41.221067541000004
647,Dudley,2012,39.456341875999996
648,Dudley,2013,39.472253338
649,Dudley,2014,43.261318066
650,Dudley,2015,44.485402031
651,Dudley,2016,43.71385745
652,Dudley,2017,43.106767160000004
653,Dudley,2018,41.562131129
654,Dudley,2019,40.897340142
655,Dudley,2020,33.758843803
752,Enfield,2005,122.33481181699999
753,Enfield,2006,123.985743196
754,Enfield,2007,125.392379386
755,Enfield,2008,124.40984295300001
756,Enfield,2009,125.52846406200001
757,Enfield,2010,128.763229196
758,Enfield,2011,115.769539259
759,Enfield,2012,131.546756389
760,Enfield,2013,124.15273642700001
761,Enfield,2014,122.972567209
762,Enfield,2015,143.884877836
763,Enfield,2016,146.462083717
764,Enfield,2017,147.51433026700002
765,Enfield,2018,148.219038113
766,Enfield,2019,136.439761662
767,Enfield,2020,114.445594673
800,Exeter,2005,22.193055883999996
801,Exeter,2006,21.816724479
802,Exeter,2007,20.818158433
803,Exeter,2008,19.352492414999997
804,Exeter,2009,19.201428849
805,Exeter,2010,19.626538543
806,Exeter,2011,19.343511522
